Diameter	Volume
0.375124	0.207361
0.411798	0.373842
0.452057	0.553364
0.496252	0.789772
0.544768	0.974859
0.598027	1.13699
0.656493	1.27441
0.720675	1.40198
0.791132	1.48165
0.868477	1.524
0.953383	1.52211
1.04659	1.48491
1.14891	1.40562
1.26123	1.2918
1.38454	1.15144
1.5199	0.993971
1.66849	0.834877
1.83161	0.68243
2.01068	0.557182
2.20725	0.461681
2.42304	0.412423
2.65993	0.408121
2.91998	0.465893
3.20545	0.580535
3.51883	0.753164
3.86284	0.962687
4.24049	1.19805
4.65506	1.44541
5.11017	1.67878
5.60976	1.87821
6.1582	2.0045
6.76025	2.07362
7.42117	2.07064
8.14669	2.03323
8.94315	1.95593
9.81748	1.89615
10.7773	1.88196
11.8309	1.93951
12.9876	2.08681
14.2573	2.25727
15.6512	2.49316
17.1813	2.70468
18.861	2.96311
20.705	3.18933
22.7292	3.4026
24.9513	3.64161
27.3906	3.89242
30.0685	4.25254
33.0081	4.56864
36.2352	4.77284
39.7777	4.60674
43.6665	3.981
47.9356	2.96095
52.622	1.67874
57.7666	0.664175
63.4141	0.129501
69.6138	0.0108271
76.4196	0
83.8907	0
92.0923	0
101.096	0
110.979	0
121.829	0
133.74	0
146.815	0
161.168	0
176.925	0
194.222	0
213.21	0
234.054	0
256.936	0
282.056	0
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

