Diameter	Volume
0.375124	0.242389
0.411798	0.438117
0.452057	0.647662
0.496252	0.92122
0.544768	1.13431
0.598027	1.31931
0.656493	1.47318
0.720675	1.61007
0.791132	1.69003
0.868477	1.72446
0.953383	1.70615
1.04659	1.64342
1.14891	1.53335
1.26123	1.38654
1.38454	1.21755
1.5199	1.03954
1.66849	0.871451
1.83161	0.728872
2.01068	0.639268
2.20725	0.611503
2.42304	0.657771
2.65993	0.781421
2.91998	1.0043
3.20545	1.32856
3.51883	1.74399
3.86284	2.21254
4.24049	2.69958
4.65506	3.17685
5.11017	3.60839
5.60976	3.95409
6.1582	4.1519
6.76025	4.18926
7.42117	4.06541
8.14669	3.82564
8.94315	3.49015
9.81748	3.11698
10.7773	2.76529
11.8309	2.49237
12.9876	2.32143
14.2573	2.17274
15.6512	2.01548
17.1813	1.80288
18.861	1.66223
20.705	1.68004
22.7292	1.93144
24.9513	2.3841
27.3906	2.81868
30.0685	2.99467
33.0081	2.70705
36.2352	2.02431
39.7777	1.13134
43.6665	0.424889
47.9356	0.0799336
52.622	0.0059249
57.7666	0
63.4141	0
69.6138	0
76.4196	0
83.8907	0
92.0923	0
101.096	0
110.979	0
121.829	0
133.74	0
146.815	0
161.168	0
176.925	0
194.222	0
213.21	0
234.054	0
256.936	0
282.056	0
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

