Diameter	Volume
0.375124	0.150393
0.411798	0.272302
0.452057	0.4034
0.496252	0.574748
0.544768	0.705417
0.598027	0.819465
0.656493	0.913945
0.720675	0.999572
0.791132	1.04505
0.868477	1.06281
0.953383	1.0471
1.04659	1.0048
1.14891	0.928931
1.26123	0.829485
1.38454	0.715362
1.5199	0.59446
1.66849	0.479287
1.83161	0.377775
2.01068	0.309453
2.20725	0.276081
2.42304	0.290049
2.65993	0.349297
2.91998	0.470761
3.20545	0.651567
3.51883	0.893665
3.86284	1.17486
4.24049	1.47818
4.65506	1.78702
5.11017	2.07692
5.60976	2.33389
6.1582	2.51888
6.76025	2.63872
7.42117	2.67093
8.14669	2.64825
8.94315	2.57401
9.81748	2.50017
10.7773	2.45355
11.8309	2.44762
12.9876	2.50468
14.2573	2.56578
15.6512	2.68256
17.1813	2.78379
18.861	2.94387
20.705	3.10568
22.7292	3.29548
24.9513	3.54896
27.3906	3.83805
30.0685	4.22995
33.0081	4.55726
36.2352	4.74612
39.7777	4.55066
43.6665	3.90258
47.9356	2.88094
52.622	1.62261
57.7666	0.638569
63.4141	0.123921
69.6138	0.0103264
76.4196	0
83.8907	0
92.0923	0
101.096	0
110.979	0
121.829	0
133.74	0
146.815	0
161.168	0
176.925	0
194.222	0
213.21	0
234.054	0
256.936	0
282.056	0
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

