Diameter	Volume
0.375124	0.178938
0.411798	0.323795
0.452057	0.479046
0.496252	0.680782
0.544768	0.834532
0.598027	0.96645
0.656493	1.07362
0.720675	1.16661
0.791132	1.21219
0.868477	1.22148
0.953383	1.18857
1.04659	1.11986
1.14891	1.01141
1.26123	0.873505
1.38454	0.718233
1.5199	0.555523
1.66849	0.40214
1.83161	0.273001
2.01068	0.192901
2.20725	0.163406
2.42304	0.192448
2.65993	0.283914
2.91998	0.463336
3.20545	0.733072
3.51883	1.08908
3.86284	1.49781
4.24049	1.93352
4.65506	2.37181
5.11017	2.78111
5.60976	3.13409
6.1582	3.38174
6.76025	3.51682
7.42117	3.52292
8.14669	3.4396
8.94315	3.28416
9.81748	3.11894
10.7773	2.98203
11.8309	2.90383
12.9876	2.89926
14.2573	2.91001
15.6512	2.94524
17.1813	2.92431
18.861	2.91419
20.705	2.9029
22.7292	2.95282
24.9513	3.10155
27.3906	3.29059
30.0685	3.513
33.0081	3.58171
36.2352	3.42266
39.7777	2.94407
43.6665	2.20355
47.9356	1.37027
52.622	0.633148
57.7666	0.193371
63.4141	0.0295136
69.6138	0.00160747
76.4196	0
83.8907	0
92.0923	0
101.096	0
110.979	0
121.829	0
133.74	0
146.815	0
161.168	0
176.925	0
194.222	0
213.21	0
234.054	0
256.936	0
282.056	0
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

