Diameter	Volume
0.375124	0.142398
0.411798	0.257834
0.452057	0.382099
0.496252	0.544049
0.544768	0.666355
0.598027	0.772228
0.656493	0.859068
0.720675	0.936757
0.791132	0.974686
0.868477	0.985063
0.953383	0.963054
1.04659	0.915233
1.14891	0.834546
1.26123	0.731184
1.38454	0.614985
1.5199	0.494196
1.66849	0.381326
1.83161	0.285003
2.01068	0.224674
2.20725	0.201935
2.42304	0.228105
2.65993	0.302979
2.91998	0.44423
3.20545	0.64939
3.51883	0.91963
3.86284	1.23224
4.24049	1.56876
4.65506	1.91066
5.11017	2.23234
5.60976	2.51945
6.1582	2.73395
6.76025	2.87948
7.42117	2.93295
8.14669	2.92445
8.94315	2.86044
9.81748	2.79319
10.7773	2.75197
11.8309	2.74962
12.9876	2.80336
14.2573	2.85576
15.6512	2.95123
17.1813	3.02812
18.861	3.15724
20.705	3.2899
22.7292	3.44339
24.9513	3.63334
27.3906	3.81959
30.0685	4.05433
33.0081	4.20267
36.2352	4.22801
39.7777	3.94994
43.6665	3.32993
47.9356	2.43523
52.622	1.36615
57.7666	0.537978
63.4141	0.104557
69.6138	0.00876601
76.4196	0
83.8907	0
92.0923	0
101.096	0
110.979	0
121.829	0
133.74	0
146.815	0
161.168	0
176.925	0
194.222	0
213.21	0
234.054	0
256.936	0
282.056	0
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

