Diameter	Volume
0.375124	0.216321
0.411798	0.389303
0.452057	0.575423
0.496252	0.820657
0.544768	1.01386
0.598027	1.18153
0.656493	1.32296
0.720675	1.45329
0.791132	1.53658
0.868477	1.57894
0.953383	1.57509
1.04659	1.5342
1.14891	1.45364
1.26123	1.33626
1.38454	1.1915
1.5199	1.02851
1.66849	0.865765
1.83161	0.709004
2.01068	0.576197
2.20725	0.467503
2.42304	0.399122
2.65993	0.371591
2.91998	0.397322
3.20545	0.467192
3.51883	0.576779
3.86284	0.711301
4.24049	0.863427
4.65506	1.02516
5.11017	1.17251
5.60976	1.28685
6.1582	1.33925
6.76025	1.35346
7.42117	1.32484
8.14669	1.27799
8.94315	1.1946
9.81748	1.11743
10.7773	1.07131
11.8309	1.08771
12.9876	1.17372
14.2573	1.24717
15.6512	1.33888
17.1813	1.38584
18.861	1.54682
20.705	1.78529
22.7292	2.16588
24.9513	2.6313
27.3906	3.04248
30.0685	3.42258
33.0081	3.62354
36.2352	3.8168
39.7777	4.00116
43.6665	4.27475
47.9356	4.64801
52.622	4.94834
57.7666	5.01154
63.4141	4.58406
69.6138	3.64435
76.4196	2.35072
83.8907	1.11096
92.0923	0.330402
101.096	0.0487849
110.979	0.00221168
121.829	0
133.74	0
146.815	0
161.168	0
176.925	0
194.222	0
213.21	0
234.054	0
256.936	0
282.056	0
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

